Прізвище,Ім’я,По-батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Запорожець,Єлисей,Сергійович,Чоловіча,1939-11-07,Шериф,хутір Корсунь-Шевченківський,"парк Флотський 4-й, буд. 2 кв. 56, Кам'янка (Черкаська область), 90338",+380 (21) 290-26-86,adamenkoamvrosii@example.com
Наливайко,Болеслав,Андрійович,Чоловіча,1978-11-14,Дантист,село Вишгород,"парк Батуринська, буд. 0 кв. 9, Кремінна, 82734",+380 90 829-13-34,violetta82@example.net
Василевич,Ілля,Петрович,Чоловіча,1987-07-23,Складальник,хутір Барвінкове,"провулок Фонтанська дорога, буд. 360, Сімферополь, 73982",+380 94 651 15 02,hordii87@example.org
Данилюк,Тарас,Андрійович,Чоловіча,1976-04-20,Кінорежисер,селище Золочів,"площа Лінія 38-ма, буд. 6 кв. 71, Євпаторія, 66361",+380 (35) 029-11-15,kalenychenkotetiana@example.com
Лупій,Ігор,Павлович,Чоловіча,1977-09-15,Акушер,місто Таврійськ,"провулок Восьмого березня 2-й, буд. 2, Світлодарськ, 10415",025 385-48-21,artiushenkooleksa@example.org
Онуфрієнко,Олег,Юрійович,Чоловіча,1986-11-30,Сантехнік,хутір Овруч,"набережна Пісочний, буд. 9, Сватове, 03484",774-70-35,qshutko@example.com
Вакуленко,Ілля,Юрійович,Чоловіча,1974-08-06,Детектив,село Мукачево,"набережна Студентський 2-й, буд. 0 кв. 0, Миргород, 02707",114-36-87,fedir59@example.net
Дробʼязко,Остап,Олександрович,Чоловіча,1959-09-29,Сантехнік,місто Зеленодольськ,"парк Скляна, буд. 8, Овруч, 36041",+380 (07) 983-02-44,iarynavakhnii@example.net
Сіробаба,Симон,Петрович,Чоловіча,2005-01-10,Промисловець,місто Каховка,"набережна Вапняний 2-й, буд. 466, Почаїв, 34895",174 76 23,volodymyrkhorishko@example.org
Вергун,Венедикт,Петрович,Чоловіча,1957-05-12,Ді-джей,місто Вознесенівка,"вулиця Обільний 2-й, буд. 5, Соледар, 11439",+380 22 338-94-90,averchenkoamaliia@example.net
Джус,Ігнат,Володимирович,Чоловіча,1992-02-18,Краєзнавець,хутір Світловодськ,"вулиця Карантинна, буд. 871 кв. 886, Вознесенськ, 94714",+380 19 504 94 57,petro93@example.org
Калениченко,Віталій,Михайлович,Чоловіча,2008-04-29,Машиніст,хутір Устилуг,"узвіз Косий, буд. 028 кв. 2, Кипуче, 27661",231 44 41,saliialla@example.net
Яценюк,Віталій,Юрійович,Чоловіча,2006-05-15,Кінорежисер,селище Гребінка,"узвіз Отрада, буд. 754 кв. 7, Білогірськ, 80560",+380 85 163-55-15,ierchenkodaryna@example.org
Туркало,Степан,Петрович,Чоловіча,1964-01-30,Секретар,хутір Коростишів,"набережна Ігоря Бедзая, буд. 0, Дунаївці, 05650",029 056 59 48,kozakzlatoslava@example.org
Алексеєнко,Захар,Олександрович,Чоловіча,1962-10-27,Стоматолог,хутір Кременець,"вулиця Неплія, буд. 95 кв. 056, Нова Одеса, 73635",155-71-48,liubovdurdynets@example.com
Дашенко,Сергій,Іванович,Чоловіча,1942-10-07,Дизайнер,хутір Петрово-Красносілля,"площа Бокаріуса, буд. 736 кв. 72, Ковель, 11052",920-69-35,aarontkach@example.org
Фастенко,Спас,Юрійович,Чоловіча,1980-09-10,Продюсер,селище Маріуполь,"провулок Трамвайний, буд. 56 кв. 79, Липовець, 81030",+380 (72) 537-47-85,mykyta27@example.com
Бандура,Веніямин,Володимирович,Чоловіча,1967-01-12,Доцент,місто Самар,"парк Сірожупанників, буд. 98 кв. 33, Красноперекопськ, 05952",+380 60 246-52-34,parmeniashchenko@example.net
Христич,Василь,Михайлович,Чоловіча,1985-10-23,Провізор,село Сніжне,"площа Промисловий, буд. 48, Болград, 55258",084-97-73,iushchenkoorysia@example.net
Баранник,Віктор,Михайлович,Чоловіча,1975-01-29,Географ,село Шахтарське,"узвіз Локомотивний 2-й, буд. 868, Валки, 48199",+380 (77) 405-34-71,kopytkoalla@example.com
Їжакевич,Охрім,Павлович,Чоловіча,1963-10-03,Біолог,селище Отаманівка,"узвіз Рельєфна, буд. 8, Деражня, 50611",+380 28 506 89 18,virachupryna@example.org
Приходько,Віталій,Володимирович,Чоловіча,2000-05-08,Електрослюсар,хутір Городенка,"провулок Учительський, буд. 419 кв. 4, Нововолинськ, 27274",+380 26 345-54-95,nalyvaikomarusia@example.com
Уманець,Зорян,Петрович,Чоловіча,1967-03-09,Мікробіолог,селище Малин,"вулиця Зернова, буд. 563 кв. 10, Полтава, 67042",+380 (79) 984-88-46,leontiikashchenko@example.org
Єрьоменко,Симон,Олександрович,Чоловіча,1991-11-18,Дантист,село Таврійськ,"сквер Шилова, буд. 9, Рожище, 29921",005 714 09 53,liudmyla48@example.net
Матвієнко,Богдан,Петрович,Чоловіча,1995-05-05,Антрополог,хутір Середина-Буда,"проспект Кедровий, буд. 9 кв. 257, Узин, 12909",419-45-44,zarubaopanas@example.org
Пустовіт,Соломон,Петрович,Чоловіча,1961-07-26,Вчитель,селище Турка,"вулиця Лазурського, буд. 112 кв. 5, Бахмут, 10128",939 05 90,turkaloivan@example.com
Дутка,Тимофій,Олександрович,Чоловіча,1950-07-25,Астрофізик,село Теребовля,"парк Водний, буд. 8 кв. 998, Федорівка, 73465",983-59-32,zhaliloanzhela@example.net
Акименко,Мартин,Анатолійович,Чоловіча,2000-11-13,Швачка,місто Селидове,"шосе Змієнка Всеволода, буд. 015, Чоп, 84531",782-11-74,qtsisyk@example.org
Джус,Феофан,Михайлович,Чоловіча,1988-11-25,Журналіст,хутір Заводське,"набережна Дачний 2-й, буд. 43 кв. 1, Амвросіївка, 11883",085 310-75-97,rhodunok@example.net
Ващенко-Захарченко,Юхим,Іванович,Чоловіча,1998-05-28,Мовознавець,хутір Сіверськодонецьк,"провулок Рятувальників, буд. 0, Олександрівськ, 53503",+380 48 949 82 61,kzasiadko@example.com
Макогон,Орхип,Олександрович,Чоловіча,1997-01-12,Круп'є,хутір Погребище,"набережна Спортивний, буд. 463, Каховка, 72340",+380 59 900-28-43,vasylyna87@example.org
Батіг,Ігнат,Олександрович,Чоловіча,1999-06-12,Зоолог,хутір Дніпро,"набережна Рівності, буд. 20, Вінниця, 04399",014 318 72 64,levkokovaliuk@example.com
Савенко,Борис,Юрійович,Чоловіча,1947-01-03,Випробувач,село Чистякове,"вулиця Бучми, буд. 7 кв. 023, Фастів, 53933",+380 09 826-12-76,vitaliiustenko@example.com
Дашкевич,Августин,Андрійович,Чоловіча,1980-01-11,Мікробіолог,село Снігурівка,"узвіз Михайла Жука, буд. 6 кв. 90, Чорнобиль, 70275",494-28-76,emiliia78@example.net
Вітер,Омелян,Володимирович,Чоловіча,1998-11-04,Електротехнік,хутір Баранівка,"набережна Буджацька, буд. 153 кв. 186, Немирів, 45622",062 673-73-94,tvasylechko@example.org
Тригуб,Орест,Михайлович,Чоловіча,1998-07-09,Каскадер,село Дубно,"парк Морський, буд. 991, Погребище, 02962",+380 47 861-68-50,nvertyporokh@example.com
Гайворонський,Ігнат,Іванович,Чоловіча,1995-04-04,Художник,місто Дніпро,"набережна Шампанський, буд. 20 кв. 5, Прип'ять, 64691",+380 37 967-81-74,okseniia82@example.org
Ґерус,Левко,Володимирович,Чоловіча,1982-07-17,Кухар,місто Сарни,"парк Рекордний, буд. 8, Івано-Франківськ, 89062",070 551 89 83,rozaliia48@example.com
Теличенко,Устим,Володимирович,Чоловіча,1957-03-03,Стиліст,село Новояворівськ,"узвіз Маковий, буд. 0 кв. 2, Узин, 42143",097 777-60-02,lmatiash@example.net
